236,背靠背，脸对脸,1994,9.5,83771人评价
237,完美陌生人,2016,8.5,466285人评价
238,香水,2006,8.5,481891人评价
239,再次出发之纽约遇见你,2013,8.6,367701人评价
240,我爱你,2011,9.1,142069人评价
241,朗读者,2008,8.6,408340人评价
242,小丑,2019,8.7,855334人评价
243,爱乐之城,2016,8.4,720437人评价
244,驴得水,2016,8.3,797795人评价
245,聚焦,2015,8.8,242045人评价
246,火星救援,2015,8.5,602421人评价
247,浪潮,2008,8.7,237163人评价
248,小萝莉的猴神大叔,2015,8.4,429386人评价
249,猜火车,1996,8.6,373438人评价
250,千年女优,2001,8.8,203020人评价
